var_set,n_background,feature_types,beta_multiplier,train_auc,test_auc,auc_gap
top 10,5000,linear+quadratic+hinge+product,1.5,0.9415,0.8708,0.0708
top 10,5000,linear+quadratic+hinge+product,3.0,0.9403,0.8699,0.0704
top 18,5000,linear+quadratic+hinge+product,0.5,0.9622,0.8679,0.0943
all 24,10000,linear+quadratic+hinge+product,1.5,0.9477,0.8667,0.081
top 18,5000,linear+quadratic+hinge+product,3.0,0.9445,0.8666,0.0779
top 18,5000,linear+quadratic+hinge+product,1.5,0.9479,0.8663,0.0816
top 18,5000,linear+quadratic+hinge+product,2.0,0.9462,0.8663,0.0799
top 18,5000,linear+quadratic+hinge+product,1.0,0.9513,0.8658,0.0855
top 18,10000,linear+quadratic+hinge+product,3.0,0.938,0.8605,0.0775
all 24,10000,linear+quadratic+hinge+product,1.0,0.9519,0.8598,0.092
top 18,10000,linear+quadratic+hinge+product,2.0,0.9397,0.8556,0.0841
top 18,10000,linear+quadratic+hinge+product,1.5,0.9413,0.8511,0.0902
all 24,10000,linear+quadratic+hinge+product,0.5,0.9595,0.8478,0.1117
top 18,10000,linear+quadratic+hinge+product,1.0,0.9457,0.8349,0.1108
top 18,10000,linear+quadratic+hinge+product,0.5,0.951,0.8122,0.1388
